buy_in,multiplier,position,result,cev,adjusted_cev
1.0,3.0,2,-1.0,-300,386.40829199999996
1.0,2.0,2,-1.0,-300,16.04682000000004
1.0,3.0,1,2.0,600,59.668000000000006
1.0,3.0,1,2.0,600,257.08734000000004
1.0,2.0,1,1.0,600,-82.72453999999993
1.0,3.0,2,-1.0,-300,-100.875
1.0,3.0,1,2.0,600,212.12934
5.0,3.0,1,10.0,600,600.0
1.0,3.0,2,-1.0,-300,378.541704
1.0,3.0,2,-1.0,-300,-171.0572
1.0,2.0,1,1.0,600,-209.74738000000002
1.0,2.0,1,1.0,600,161.84957000000003
1.0,2.0,1,1.0,600,137.30476
1.0,2.0,3,-1.0,-300,-300.0
1.0,3.0,2,-1.0,-300,-154.34562
1.0,2.0,3,-1.0,-300,24.15992
1.0,2.0,2,-1.0,-300,-113.17392000000001
1.0,2.0,2,-1.0,-300,-155.47735
1.0,2.0,3,-1.0,-300,68.51584000000003
1.0,3.0,1,2.0,600,77.49008
1.0,4.0,3,-1.0,-300,-179.27744
1.0,2.0,2,-1.0,-300,45.673710000000085
1.0,2.0,1,1.0,600,259.96412000000004
1.0,3.0,2,-1.0,-300,-199.77821999999998
1.0,2.0,3,-1.0,-300,-263.764651
1.0,3.0,1,2.0,600,-63.44588000000002
1.0,10.0,3,-1.0,-300,-6.464799999999968
1.0,3.0,2,-1.0,-300,180.8372
1.0,2.0,3,-1.0,-300,71.14340999999996
1.0,4.0,3,-1.0,-300,-173.29591999999997
1.0,3.0,2,-1.0,-300,80.77109999999999
1.0,2.0,2,-1.0,-300,-410.65422
1.0,3.0,2,-1.0,-300,-228.94446999999997
1.0,3.0,3,-1.0,-300,37.549080000000004
1.0,3.0,3,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,-221.617244
1.0,5.0,1,4.0,600,97.03758999999994
1.0,2.0,2,-1.0,-300,107.96528999999995
1.0,4.0,2,-1.0,-300,-215.32980999999998
1.0,3.0,2,-1.0,-300,147.94076799999996
1.0,4.0,3,-1.0,-300,-305.14160000000004
1.0,2.0,2,-1.0,-300,-221.096268
1.0,2.0,1,1.0,600,-179.04802
1.0,4.0,1,3.0,600,-134.75590000000005
1.0,2.0,2,-1.0,-300,4.87050000000005
1.0,4.0,1,3.0,600,-15.00218000000001
1.0,4.0,3,-1.0,-300,-140.18062000000003
1.0,2.0,1,1.0,600,538.834016
1.0,2.0,2,-1.0,-300,40.87781000000001
1.0,2.0,3,-1.0,-300,25.668048
1.0,2.0,2,-1.0,-300,-110.21094000000002
1.0,2.0,1,1.0,600,265.31232
1.0,2.0,1,1.0,600,64.39354000000004
1.0,3.0,2,-1.0,-300,156.65022199999999
1.0,2.0,2,-1.0,-300,429.42571999999996
1.0,2.0,1,1.0,600,198.57923199999993
1.0,2.0,2,-1.0,-300,-108.20915000000002
1.0,3.0,2,-1.0,-300,-79.47670800000003
1.0,2.0,3,-1.0,-300,-68.30859799999999
1.0,3.0,2,-1.0,-300,-176.02519999999998
1.0,2.0,1,1.0,600,83.57926
1.0,2.0,2,-1.0,-300,36.39659999999998
1.0,2.0,2,-1.0,-300,129.66237999999998
1.0,2.0,2,-1.0,-300,-85.09964000000001
1.0,2.0,1,1.0,600,600.0
1.0,3.0,1,2.0,600,14.869410000000016
1.0,3.0,2,-1.0,-300,-453.57028999999994
1.0,3.0,2,-1.0,-300,-45.25878
1.0,2.0,2,-1.0,-300,-122.59430999999998
1.0,2.0,1,1.0,600,-60.65332799999993
1.0,3.0,1,2.0,600,97.37519999999995
1.0,4.0,1,3.0,600,600.0
